customerid,recency,frequency,monetary,rfm,RFM_Category
16940,354,354,2443.35,555,VIP Customers
15678,327,327,2443.35,555,VIP Customers
24162,293,293,2443.35,555,VIP Customers
29973,307,307,2886.303,555,VIP Customers
29661,307,307,4228.146,555,VIP Customers
24251,290,290,2443.35,555,VIP Customers
17948,314,314,2443.35,555,VIP Customers
24174,289,289,2443.35,555,VIP Customers
17968,322,322,2443.35,555,VIP Customers
17828,358,358,2443.35,555,VIP Customers
17221,332,332,2443.35,555,VIP Customers
24171,296,296,2443.35,555,VIP Customers
23656,311,311,2443.35,555,VIP Customers
18000,293,293,2443.35,555,VIP Customers
24160,309,309,2443.35,555,VIP Customers
23659,308,308,2443.35,555,VIP Customers
23539,349,349,2443.35,555,VIP Customers
17937,334,334,2443.35,555,VIP Customers
29636,307,307,6712.194,555,VIP Customers
29613,307,307,4336.8572,555,VIP Customers
15676,342,342,2443.35,555,VIP Customers
23665,329,329,2443.35,555,VIP Customers
17969,324,324,2443.35,555,VIP Customers
23645,357,357,2443.35,555,VIP Customers
24000,324,324,2443.35,555,VIP Customers
17966,316,316,2443.35,555,VIP Customers
23648,342,342,2443.35,555,VIP Customers
29937,307,307,37216.7222,555,VIP Customers
24241,301,301,2443.35,555,VIP Customers
23992,311,311,2443.35,555,VIP Customers
29594,307,307,96605.9056,555,VIP Customers
23995,327,327,2443.35,555,VIP Customers
17981,306,306,2443.35,555,VIP Customers
17792,361,361,2443.35,555,VIP Customers
29889,307,307,43579.4597,555,VIP Customers
24167,301,301,2443.35,555,VIP Customers
15677,308,308,2443.35,555,VIP Customers
24007,320,320,2443.35,555,VIP Customers
17781,297,297,2443.35,555,VIP Customers
24170,297,297,2443.35,555,VIP Customers
17114,345,345,2443.35,555,VIP Customers
24001,334,334,2443.35,555,VIP Customers
16261,310,310,2443.35,555,VIP Customers
17793,359,359,2443.35,555,VIP Customers
16204,320,320,2443.35,555,VIP Customers
29758,338,338,2472.3107,555,VIP Customers
23993,318,318,2443.35,555,VIP Customers
29549,307,307,38642.3176,555,VIP Customers
17209,311,311,2443.35,555,VIP Customers
15666,346,346,2443.35,555,VIP Customers
23655,333,333,2443.35,555,VIP Customers
27199,306,306,2049.0982,554,Loyal Customers
27050,355,355,2071.4196,554,Loyal Customers
27073,362,362,2049.0982,554,Loyal Customers
15211,300,300,2071.4196,554,Loyal Customers
15022,303,303,2071.4196,554,Loyal Customers
17979,295,295,2181.5625,554,Loyal Customers
25112,301,301,1000.4375,554,Loyal Customers
15663,348,348,2181.5625,554,Loyal Customers
21305,351,351,2049.0982,554,Loyal Customers
23661,313,313,2181.5625,554,Loyal Customers
27193,306,306,2049.0982,554,Loyal Customers
12546,299,299,2071.4196,554,Loyal Customers
12500,334,334,2071.4196,554,Loyal Customers
14020,339,339,2071.4196,554,Loyal Customers
27047,347,347,2049.0982,554,Loyal Customers
27239,289,289,2071.4196,554,Loyal Customers
27116,297,297,2071.4196,554,Loyal Customers
17959,323,323,2181.5625,554,Loyal Customers
21348,334,334,2049.0982,554,Loyal Customers
15205,295,295,2071.4196,554,Loyal Customers
29483,326,326,2049.0982,554,Loyal Customers
14667,311,311,2049.0982,554,Loyal Customers
15208,300,300,2049.0982,554,Loyal Customers
27093,310,310,2071.4196,554,Loyal Customers
24159,310,310,2181.5625,554,Loyal Customers
15185,306,306,2071.4196,554,Loyal Customers
19038,354,354,1000.4375,554,Loyal Customers
27090,311,311,2049.0982,554,Loyal Customers
24242,291,291,2181.5625,554,Loyal Customers
15145,306,306,2071.4196,554,Loyal Customers
23658,316,316,2181.5625,554,Loyal Customers
17103,353,353,2181.5625,554,Loyal Customers
27067,346,346,2049.0982,554,Loyal Customers
15122,296,296,2071.4196,554,Loyal Customers
25032,346,346,1000.4375,554,Loyal Customers
27081,325,325,2049.0982,554,Loyal Customers
15179,299,299,2071.4196,554,Loyal Customers
27104,330,330,2049.0982,554,Loyal Customers
26815,365,365,2049.0982,554,Loyal Customers
12388,354,354,2049.0982,554,Loyal Customers
12712,295,295,2049.0982,554,Loyal Customers
12735,297,297,2049.0982,554,Loyal Customers
14326,331,331,2071.4196,554,Loyal Customers
13997,359,359,2071.4196,554,Loyal Customers
27087,337,337,2071.4196,554,Loyal Customers
29397,358,358,2049.0982,554,Loyal Customers
14681,337,337,2049.0982,554,Loyal Customers
29414,346,346,2071.4196,554,Loyal Customers
24004,310,310,2181.5625,554,Loyal Customers
14226,334,334,2071.4196,554,Loyal Customers
23652,308,308,2181.5625,554,Loyal Customers
27107,336,336,2071.4196,554,Loyal Customers
17220,334,334,2181.5625,554,Loyal Customers
15036,290,290,2049.0982,554,Loyal Customers
23649,352,352,2181.5625,554,Loyal Customers
27044,339,339,2049.0982,554,Loyal Customers
23663,321,321,2181.5625,554,Loyal Customers
27021,343,343,2071.4196,554,Loyal Customers
24173,300,300,2181.5625,554,Loyal Customers
13994,355,355,2071.4196,554,Loyal Customers
